counter	time	pattern	blocks total	cmds total	pcm total
PCIeRdCur-hits	6.00s	single-write	500000	500000	1326329
PCIeRdCur-misses	6.00s	single-write	500000	500000	266852
RFO-hits-filtered	6.00s	single-write	500000	500000	500015
RFO-misses-filtered	6.00s	single-write	500000	500000	15
ItoM-hits-filtered	6.00s	single-write	500000	500000	64000000
ItoM-misses-filtered	6.00s	single-write	500000	500000	327211
PCIeRdCur-hits	5.00s	single-read	250000	250000	32500634
PCIeRdCur-misses	5.00s	single-read	250000	250000	65449
RFO-hits-filtered	5.00s	single-read	250000	250000	250016
RFO-misses-filtered	5.00s	single-read	250000	250000	8
ItoM-hits-filtered	5.00s	single-read	250000	250000	0
ItoM-misses-filtered	5.00s	single-read	250000	250000	19
PCIeRdCur-hits	6.00s	random-write	3100000	100000	560359
PCIeRdCur-misses	6.00s	random-write	3100000	100000	50264
RFO-hits-filtered	6.00s	random-write	3100000	100000	100011
RFO-misses-filtered	6.00s	random-write	3100000	100000	17
ItoM-hits-filtered	6.00s	random-write	3100000	100000	204800000
ItoM-misses-filtered	6.00s	random-write	3100000	100000	1490200
PCIeRdCur-hits	9.00s	random-read	1550000	50000	102700369
PCIeRdCur-misses	9.00s	random-read	1550000	50000	174028
RFO-hits-filtered	9.00s	random-read	1550000	50000	50049
RFO-misses-filtered	9.00s	random-read	1550000	50000	11
ItoM-hits-filtered	9.00s	random-read	1550000	50000	18
ItoM-misses-filtered	9.00s	random-read	1550000	50000	6
PCIeRdCur-hits	6.00s	flush	0	350000	368160
PCIeRdCur-misses	6.00s	flush	0	350000	1305
RFO-hits-filtered	6.00s	flush	0	350000	350018
RFO-misses-filtered	6.00s	flush	0	350000	11
ItoM-hits-filtered	6.00s	flush	0	350000	0
ItoM-misses-filtered	6.00s	flush	0	350000	0
PCIeRdCur-hits	5.00s	noop	0	0	13
PCIeRdCur-misses	5.00s	noop	0	0	7
RFO-hits-filtered	5.00s	noop	0	0	5
RFO-misses-filtered	5.00s	noop	0	0	6
ItoM-hits-filtered	5.00s	noop	0	0	0
ItoM-misses-filtered	5.00s	noop	0	0	13
CRd-hits	5.00s	noop	0	0	247427
CRd-misses	5.00s	noop	0	0	84
DRd-hits	5.00s	noop	0	0	120053
DRd-misses	5.00s	noop	0	0	2597
PRd-hits	5.00s	noop	0	0	698
PRd-misses	5.00s	noop	0	0	461
WiL-hits	5.00s	noop	0	0	97
WiL-misses	5.00s	noop	0	0	64
